
> start
> ./node_modules/.bin/serve -l 8000

 INFO  Accepting connections at http://localhost:8000
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 3 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/grak_the_crusher.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/boro_the_bulwark.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/skeleton_warrior.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/goblin_brawler.png
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 3 ms
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 9 ms
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 8 ms
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 24 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/karn_the_barbed.png
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 1 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/goblin_brute.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/vex.png
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 2 ms
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 2 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/kaelen.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/lyra_nightwind.png
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 2 ms
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 1 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/skeleton_archer.png
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 2 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/goblin_cutpurse.png
 HTTP  12/20/2025 7:24:50 PM ::1 Returned 200 in 1 ms
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/seraphina.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/zephyr_the_tempest.png
 HTTP  12/20/2025 7:24:50 PM ::1 GET /images/goblin_scout.png
